total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,mission_time_limit,mission_time,detection_probability_limit,detection_count_limit,largest_detection,number_of_searches,number_of_vehicles
2.015672527,2.015686264,2.015694555,0%,2.029700041,2.05,24,13.7363,0.5,0.693147181,0.18,30,8
2.015670186,2.015685093,2.01569429,0%,1.868932962,1.88,24,14.9071,0.5,0.693147181,0.24,30,7
2.015669596,2.015684798,2.015693231,0%,2.653665066,2.67,24,15.2018,0.5,0.693147181,0.27,30,6
2.015667271,2.015683636,2.015692294,0%,1.314365149,1.32,24,16.3643,0.5,0.693147181,0.24,30,5
2.015670408,2.015685204,2.015690971,0%,2.92385602,2.93,24,14.7958,0.5,0.693147181,0.26,30,4
2.015653875,2.015676937,2.015688328,0%,2.673497915,2.68,24,23.0626,0.5,0.693147181,0.34,30,3
2.015654847,2.015677423,2.015684212,0%,5.853070974,5.86,24,22.5766,0.5,0.693147181,0.6,30,2
2.015666333,2.015683166,2.015694768,0%,1.418869019,1.43,24,16.8336,0.4,0.510825624,0.17,30,8
2.015674909,2.015687455,2.015694118,0%,2.87541008,2.89,24,12.5454,0.4,0.510825624,0.19,30,7
2.015668657,2.015684329,2.015693453,0%,1.480632067,1.49,24,15.6715,0.4,0.510825624,0.22,30,6
2.015669107,2.015684554,2.015692529,0%,1.177286148,1.19,24,15.4465,0.4,0.510825624,0.25,30,5
2.01565674,2.01567837,2.015690464,0%,2.698144913,2.71,24,21.63,0.4,0.510825624,0.28,30,4
2.015652212,2.015676106,2.015688725,0%,1.405827999,1.41,24,23.8941,0.4,0.510825624,0.33,30,3
2.015652316,2.015676158,2.015683973,0%,5.76483798,5.77,24,23.8421,0.4,0.510825624,0.47,30,2
2.015664351,2.015682175,2.015694508,0%,1.964228153,1.98,24,17.8247,0.3,0.356674944,0.24,30,8
2.015669399,2.0156847,2.015694069,0%,1.831640959,1.84,24,15.3005,0.3,0.356674944,0.26,30,7
2.015658202,2.015679101,2.015693417,0%,2.767414093,2.78,24,20.8991,0.3,0.356674944,0.23,30,6
2.015658232,2.015679116,2.015692203,0%,2.779474974,2.79,24,20.8842,0.3,0.356674944,0.29,30,5
2.015666811,2.015683406,2.015691039,0%,1.494656086,1.5,24,16.5945,0.3,0.356674944,0.35,30,4
2.015664031,2.015682015,2.015688449,0%,2.16723299,2.17,24,17.9846,0.3,0.356674944,0.35,30,3
1.813557183,1.813578599,1.831702654,1%,115.4312172,115.44,24,21.41620037,0.3,0.356674944,0.36,23,2
2.015661778,2.015680889,2.015694337,0%,2.007091999,2.02,24,19.1111,0.2,0.223143551,0.21,30,8
2.01567028,2.01568514,2.015694042,0%,1.902534008,1.91,24,14.8601,0.2,0.223143551,0.19,30,7
2.015661528,2.015680764,2.015693419,0%,2.795280933,2.81,24,19.2359,0.2,0.223143551,0.2,30,6
2.015674768,2.015687384,2.01569256,0%,1.28231287,1.29,24,12.6162,0.2,0.223143551,0.19,30,5
1.997365706,1.997382853,2.015689015,1%,61.94650292,61.96,24,17.1472,0.2,0.223143551,0.22,29,4
1.747769717,1.747784859,1.766473248,1%,3600.093343,3600.1,24,15.1413,0.2,0.223143551,0.22,21,3
1.350567012,1.350583525,1.36400421,1%,105.9763758,105.98,24,16.51370076,0.2,0.223143551,0.22,14,2
1.90908001,1.909090005,1.958092645,3%,3600.091027,3600.1,24,9.995,0.1,0.105360516,0.11,26,8
1.791376825,1.791388412,1.844437916,3%,3600.268316,3600.28,24,11.5877,0.1,0.105360516,0.11,23,7
1.638275664,1.638287832,1.668437279,2%,3600.132634,3600.14,24,12.1681,0.1,0.105360516,0.11,19,6
1.454475664,1.454487832,1.474588956,1%,3600.196073,3600.21,24,12.1681,0.1,0.105360516,0.11,16,5
1.235678455,1.235689227,1.249788485,1%,3600.078278,3600.09,24,10.7727,0.1,0.105360516,0.1,12,4
0.976376065,0.976388033,1.000389013,2%,3600.076631,3600.08,24,11.9673,0.1,0.105360516,0.1,8,3
0.710676065,0.710688033,0.720689033,1%,3600.11664,3600.12,24,11.9673,0.1,0.105360516,0.1,6,2
2.015667181,2.01568359,2.015694523,0%,1.926211834,1.94,20,16.4096,0.5,0.693147181,0.19,30,8
2.015675549,2.015687774,2.01569429,0%,1.199951172,1.21,20,12.2255,0.5,0.693147181,0.23,30,7
2.015665305,2.015682653,2.015693232,0%,2.600579023,2.61,20,17.3474,0.5,0.693147181,0.19,30,6
2.015665911,2.015682956,2.015692232,0%,4.6192801,4.63,20,17.0444,0.5,0.693147181,0.21,30,5
2.015668407,2.015684204,2.015691059,0%,2.812529087,2.82,20,15.7963,0.5,0.693147181,0.31,30,4
