total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
10.75456,10.75455929,10.75455929,0.0,0.18953895568847656,0.2,0.7100000000000009,1,1,1,4,1,7
10.66816,10.66815794,10.66815794,0.0,0.1949920654296875,0.2,2.0600000000000023,1,1,1,4,1,10
10.72832,10.72831776,10.733574311282677,0.0004899697604293775,3.146575927734375,3.15,2.2399999999999842,1,1,1,4,1,15
10.78,10.779999499999999,10.779999499999999,0.0,0.20075607299804688,0.21,0.5,1,1,1,4,1,2
10.529439999999997,10.529437169999998,10.52943717,0.0,3.8449974060058594,3.85,2.8299999999999983,1,3,3,4,3,25
10.752,10.751999000000001,10.75335656213705,0.00012626137121557747,3.1571598052978516,3.17,0.9999999999999751,1,1,1,4,1,11
10.718181818181819,10.718180018181819,10.718180018181819,0.0,0.2054119110107422,0.21,1.7999999999999972,1,1,1,4,1,18
10.76,10.759999,10.759999,0.0,0.2073078155517578,0.21,1.0,1,1,1,4,1,3
10.265454545454547,10.265452045454547,10.461132707396123,0.019062059914665152,20.031803131103516,20.04,2.4999999999999822,1,5,6,4,4,19
10.767999999999999,10.767999499999998,10.767999499999998,0.0,0.21130752563476562,0.22,0.5,1,1,1,4,1,6
10.665600000000001,10.66559776,10.677171433584839,0.0010851406405221456,3.059427261352539,3.07,2.23999999999997,1,1,1,4,1,23
10.676400000000001,10.676397940000001,10.676397940000001,0.0,0.20738792419433594,0.21,2.0600000000000023,1,1,1,4,1,22
10.7,10.699997499999998,10.708943089430893,0.0008360365907463133,2.8260116577148438,2.83,2.499999999999968,1,1,1,4,1,24
10.718181818181819,10.718180018181819,10.718180018181819,0.0,0.19022560119628906,0.2,1.7999999999999972,1,1,1,4,1,14
10.740000000000002,10.739998500000002,10.739998500000002,0.0,0.21353912353515625,0.22,1.5,1,1,1,4,1,4
10.759272727272727,10.759271607272726,10.759271607272726,0.0,0.2352123260498047,0.24,1.1199999999999974,1,1,1,4,1,8
